,省,市,累计确诊人数,治愈人数,死亡人数,疑似病例
0,湖北,武汉,39462,2925,1233,0.0
1,湖北,孝感,3201,380,65,0.0
2,湖北,黄冈,2823,716,75,0.0
3,湖北,荆州,1490,263,36,0.0
4,湖北,随州,1254,113,22,0.0
5,湖北,鄂州,1230,222,34,0.0
6,湖北,襄阳,1144,114,19,0.0
7,湖北,黄石,988,198,14,0.0
8,湖北,荆门,909,117,30,0.0
9,湖北,宜昌,901,140,21,0.0
10,湖北,咸宁,852,152,8,0.0
11,湖北,十堰,602,116,2,0.0
12,湖北,仙桃,523,87,17,0.0
13,湖北,天门,447,27,10,0.0
14,湖北,恩施州,247,76,4,0.0
15,湖北,潜江,166,12,6,0.0
16,湖北,神农架林区,10,8,0,0.0
17,广东,深圳,414,131,0,0.0
18,广东,广州,338,121,0,0.0
19,广东,珠海,96,37,0,0.0
20,广东,东莞,89,12,1,0.0
21,广东,佛山,84,23,0,0.0
22,广东,中山,65,34,0,0.0
23,广东,惠州,58,26,0,0.0
24,广东,汕头,25,13,0,0.0
25,广东,江门,23,3,0,0.0
26,广东,湛江,22,11,0,0.0
27,广东,肇庆,17,8,1,0.0
28,广东,梅州,16,7,0,0.0
29,广东,阳江,13,7,0,0.0
30,广东,茂名,13,3,0,0.0
31,广东,清远,12,7,0,0.0
32,广东,韶关,10,4,0,0.0
33,广东,揭阳,8,4,0,0.0
34,广东,汕尾,5,1,0,0.0
35,广东,潮州,5,1,0,0.0
36,广东,河源,3,1,0,0.0
37,广东,未明确地区,0,11,0,
38,河南,信阳市,261,74,2,0.0
39,河南,南阳市,151,57,2,0.0
40,河南,郑州市,148,72,0,0.0
41,河南,驻马店市,138,65,0,0.0
42,河南,商丘市,91,30,2,0.0
43,河南,周口市,71,29,0,0.0
44,河南,平顶山市,58,20,1,0.0
45,河南,新乡市,56,16,2,0.0
46,河南,安阳市,51,20,0,0.0
47,河南,许昌市,38,9,0,0.0
48,河南,漯河市,34,12,0,0.0
49,河南,洛阳市,31,11,0,0.0
50,河南,焦作市,30,7,1,0.0
51,河南,开封市,26,7,0,0.0
52,河南,鹤壁市,19,5,0,0.0
53,河南,濮阳市,17,2,0,0.0
54,河南,三门峡市,7,4,0,0.0
55,河南,济源示范区,4,0,0,0.0
56,河南,未明确地区,0,0,0,0.0
57,河南,未明确地区,0,0,3,
58,浙江,温州,502,182,0,0.0
59,浙江,杭州,166,75,0,0.0
60,浙江,宁波,155,55,0,0.0
61,浙江,台州,146,63,0,0.0
62,浙江,金华,55,24,0,0.0
63,浙江,嘉兴,43,11,0,0.0
64,浙江,绍兴,42,17,0,0.0
65,浙江,衢州,21,9,0,0.0
66,浙江,丽水,17,11,0,0.0
67,浙江,湖州,10,4,0,0.0
68,浙江,舟山,10,5,0,0.0
69,湖南,长沙市,241,89,1,0.0
70,湖南,岳阳市,154,54,1,0.0
71,湖南,邵阳市,101,64,1,0.0
72,湖南,常德市,79,31,0,0.0
73,湖南,株洲市,78,33,0,0.0
74,湖南,娄底市,75,34,0,0.0
75,湖南,益阳市,59,27,0,0.0
76,湖南,衡阳市,47,28,0,0.0
77,湖南,永州市,43,28,0,0.0
78,湖南,怀化市,40,30,0,0.0
79,湖南,郴州市,39,22,0,0.0
80,湖南,湘潭市,35,14,0,0.0
81,湖南,湘西自治州,8,6,0,0.0
82,湖南,张家界市,5,4,0,0.0
83,安徽,合肥,169,43,1,0.0
84,安徽,蚌埠,157,9,5,0.0
85,安徽,阜阳,152,37,0,0.0
86,安徽,亳州,108,35,0,0.0
87,安徽,安庆,82,34,0,0.0
88,安徽,六安,65,15,0,0.0
89,安徽,宿州,39,13,0,0.0
90,安徽,马鞍山,36,10,0,0.0
91,安徽,芜湖,31,13,0,0.0
92,安徽,铜陵,28,10,0,0.0
93,安徽,淮北,26,10,0,0.0
94,安徽,淮南,24,8,0,0.0
95,安徽,池州,17,6,0,0.0
96,安徽,滁州,13,7,0,0.0
97,安徽,黄山,9,1,0,0.0
98,安徽,宣城,6,4,0,0.0
99,江西,南昌,227,75,0,0.0
100,江西,新余,129,37,0,0.0
101,江西,上饶,123,31,0,0.0
102,江西,九江,117,22,0,0.0
103,江西,宜春,104,20,0,0.0
104,江西,赣州,76,17,1,0.0
105,江西,抚州,72,21,0,0.0
106,江西,萍乡,32,4,0,0.0
107,江西,吉安,21,9,0,0.0
108,江西,鹰潭,18,3,0,0.0
109,江西,景德镇,5,1,0,0.0
110,江西,赣江新区,1,0,0,0.0
111,江苏,南京,92,32,0,0.0
112,江苏,苏州,86,26,0,0.0
113,江苏,徐州,78,28,0,0.0
114,江苏,淮安,63,21,0,0.0
115,江苏,无锡,53,18,0,0.0
116,江苏,连云港,48,12,0,0.0
117,江苏,常州,46,21,0,0.0
118,江苏,南通,40,15,0,0.0
119,江苏,泰州,37,16,0,0.0
120,江苏,盐城,27,10,0,0.0
121,江苏,扬州,22,8,0,0.0
122,江苏,宿迁,13,7,0,0.0
